kappa_cc,kappa_link,n,true_mi,true_cmi,mi_mean,cmi_mean,cmi_bias,cmi_floor
0.0,0.0,300,0.0,0.0,0.0002940576351461117,0.0025147989857609663,0.0025147989857609663,0.030847944029483678
0.0,0.0,1000,0.0,0.0,0.00025500528441390236,0.00019793382114410892,0.00019793382114410892,0.009682373686180691
0.0,0.0,3000,0.0,0.0,6.749738206457995e-05,4.099377660997857e-05,4.099377660997857e-05,0.002728513971112171
0.0,0.0,10000,0.0,0.0,-4.946571741384453e-05,-3.133525458725024e-05,-3.133525458725024e-05,0.0008625223487027907
0.0,0.3,300,0.1696988080785829,0.1696988080785829,0.16947971351341246,0.17177097541849615,0.00207216733991325,0.08959120363281692
0.0,0.3,1000,0.1696988080785829,0.1696988080785829,0.16800333040104876,0.168250258960874,-0.0014485491177088916,0.03941241492177147
0.0,0.3,3000,0.1696988080785829,0.1696988080785829,0.17206135328687677,0.17211000956521955,0.0024112014866366493,0.026149533468837152
0.0,0.3,10000,0.1696988080785829,0.1696988080785829,0.17024640527600646,0.17027023350417533,0.0005714254255924367,0.013558951404960162
0.0,0.6,300,0.6432203505529608,0.6432203505529608,0.655531004503315,0.6598888764543719,0.016668525901411102,0.15937041419185127
0.0,0.6,1000,0.6432203505529608,0.6432203505529608,0.6433295132842721,0.6435406279100826,0.00032027735712181205,0.08183657749898998
0.0,0.6,3000,0.6432203505529608,0.6432203505529608,0.6456150380921258,0.6455813788661622,0.0023610283132013965,0.04140807509850303
0.0,0.6,10000,0.6432203505529608,0.6432203505529608,0.6419033708557006,0.6418941691614939,-0.0013261813914668963,0.022782402693289794
0.0,0.9,300,1.4968162683194164,1.4968162683194164,1.5040289074640634,1.523872984591762,0.027056716272345627,0.1777364349591204
0.0,0.9,1000,1.4968162683194164,1.4968162683194164,1.4951709997787463,1.4976818777281014,0.0008656094086849642,0.08013902031620868
0.0,0.9,3000,1.4968162683194164,1.4968162683194164,1.4958031718644862,1.4958207485859174,-0.000995519733498984,0.05184032816401041
0.0,0.9,10000,1.4968162683194164,1.4968162683194164,1.4962546148525429,1.4963207238195766,-0.0004955444998397951,0.026101753292872454
