rho,lam,n,true_mi,true_cmi,mi_mean,mi_floor,cmi_mean,cmi_bias,cmi_floor
0.0,0.0,300,0.0,0.0,7.222090960137623e-05,0.005233730004719153,-3.3547504174587544e-06,-3.3547504174587544e-06,0.00940088908308321
0.0,0.0,1000,0.0,0.0,9.577864095150265e-05,0.0019871777604928975,2.950119847327376e-05,2.950119847327376e-05,0.0023510603131261134
0.0,0.0,3000,0.0,0.0,3.28804249930259e-07,0.0006356468902492372,2.5576120714262056e-05,2.5576120714262056e-05,0.0008887164117527438
0.0,0.0,10000,0.0,0.0,-1.965905466055757e-06,0.00015512794322753717,-5.982537889859553e-06,-5.982537889859553e-06,0.0002490530543355393
0.0,0.25,300,0.0,0.0,-3.07634005223936e-05,0.005415706772752917,0.0001150407641519751,0.0001150407641519751,0.00768545777838624
0.0,0.25,1000,0.0,0.0,-5.307020501613932e-05,0.0018751090960431207,-5.362602157173972e-05,-5.362602157173972e-05,0.0025234272997455864
0.0,0.25,3000,0.0,0.0,2.347050008463132e-05,0.0005987778605860936,1.6683956952063672e-05,1.6683956952063672e-05,0.0008250908817232559
0.0,0.25,10000,0.0,0.0,5.66235714532876e-06,0.00018397672429182124,2.921197281668068e-06,2.921197281668068e-06,0.0003098019243532205
0.0,0.5,300,0.0,0.0,-2.610081373242392e-05,0.005024398424352921,-2.386768540501268e-05,-2.386768540501268e-05,0.007814282317916109
0.0,0.5,1000,0.0,0.0,-2.1073051651510254e-05,0.0016680126727549051,3.295133774732038e-05,3.295133774732038e-05,0.0024925469309956334
0.0,0.5,3000,0.0,0.0,-4.017682143591717e-06,0.0005761006034599106,2.122643334429842e-05,2.122643334429842e-05,0.0007306910997092676
0.0,0.5,10000,0.0,0.0,8.510494103999628e-06,0.00018427331880336906,8.21642580627606e-06,8.21642580627606e-06,0.0002807709601519988
0.0,0.75,300,0.0,0.0,-0.00030310025935532096,0.0055631203973685065,-0.0003899776900566021,-0.0003899776900566021,0.008342566358304538
0.0,0.75,1000,0.0,0.0,-6.601448343622608e-05,0.0015009892199916793,-7.315205832751412e-05,-7.315205832751412e-05,0.002394264016106758
0.0,0.75,3000,0.0,0.0,3.8982975931339e-05,0.0006378690402083813,8.164801529920276e-05,8.164801529920276e-05,0.0010821825047600945
0.0,0.75,10000,0.0,0.0,-8.549705950582321e-06,0.00014606481866106684,-1.0768688234416425e-05,-1.0768688234416425e-05,0.00025069315605933263
0.0,1.0,300,0.0,0.0,0.00039491471710201417,0.006437918877309755,0.0006705135629193913,0.0006705135629193913,0.011014260665026069
0.0,1.0,1000,0.0,0.0,0.00011686389720857272,0.001981365836172253,0.00010084833393940317,0.00010084833393940317,0.0025780667998089903
0.0,1.0,3000,0.0,0.0,1.115896778685543e-05,0.0006107044451648221,-3.229141453164534e-06,-3.229141453164534e-06,0.0010066688807474904
0.0,1.0,10000,0.0,0.0,-1.066610195955874e-05,0.00017370480314542056,-1.0359914493035184e-05,-1.0359914493035184e-05,0.0002453286744834573
0.25,0.0,300,0.0,0.0,-6.32875423025336e-05,0.006229644600115873,0.00021209285028591583,0.00021209285028591583,0.010411984843475233
0.25,0.0,1000,0.0,0.0,-2.952106937334886e-05,0.0017665462100912071,-3.503031527178112e-05,-3.503031527178112e-05,0.002881515370276867
0.25,0.0,3000,0.0,0.0,-1.8572185253366064e-05,0.0005879736946315542,1.4709668295568188e-05,1.4709668295568188e-05,0.0008865653883107971
0.25,0.0,10000,0.0,0.0,1.478348480416155e-05,0.0002561755039992064,8.315221095971813e-06,8.315221095971813e-06,0.00028863001572108747
