kappa_cc,kappa_link,n,true_naive,true_link,naive_mean,cond_mean,cond_bias,cond_floor
0.0,0.0,300,0.0,0.0,-0.00485474853240208,-0.0049475430134020655,-0.0049475430134020655,0.05601530853533819
0.0,0.0,1000,0.0,0.0,0.001149888276616813,0.0012485751827154316,0.0012485751827154316,0.03174520469743271
0.0,0.0,3000,0.0,0.0,-0.0016469677768351403,-0.0016762004639490802,-0.0016762004639490802,0.01775274150858726
0.0,0.0,10000,0.0,0.0,0.0001666660183557898,0.00016656948259263023,0.00016656948259263023,0.010286764709016318
0.0,0.1,300,0.1,0.1,0.10598222417250323,0.10589771933380449,0.00589771933380448,0.1075903285060275
0.0,0.1,1000,0.1,0.1,0.10293223222796265,0.10291077824180249,0.0029107782418024836,0.05241097263453541
0.0,0.1,3000,0.1,0.1,0.09758594788074576,0.09755986861121169,-0.002440131388788319,0.03038432730062425
0.0,0.1,10000,0.1,0.1,0.09945390960082712,0.09944855300303766,-0.0005514469969623431,0.01561717282286669
0.0,0.2,300,0.19999999999999998,0.2,0.20124177252786768,0.20199224886802497,0.0019922488680249595,0.11214091442456806
0.0,0.2,1000,0.19999999999999998,0.2,0.20235031516621596,0.20227103560827467,0.0022710356082746574,0.05532088698674639
0.0,0.2,3000,0.19999999999999998,0.2,0.20010626668139828,0.20015562733469758,0.00015562733469756673,0.03481272961365858
0.0,0.2,10000,0.19999999999999998,0.2,0.20016735004416572,0.20015152168604122,0.00015152168604121163,0.01809098768781936
0.0,0.3,300,0.29999999999999993,0.3,0.30711562285652805,0.30667828616090953,0.006678286160909541,0.12688315879221224
0.0,0.3,1000,0.29999999999999993,0.3,0.2982876355886113,0.2984265424813454,-0.001573457518654564,0.06745653898836196
0.0,0.3,3000,0.29999999999999993,0.3,0.30066875618665095,0.3006771110101838,0.0006771110101838063,0.03915832824367199
0.0,0.3,10000,0.29999999999999993,0.3,0.3004307371014946,0.3004347918515294,0.0004347918515293925,0.020671337722640848
0.1,0.0,300,0.01333333333333335,0.0,0.016187029917729228,0.001447103201017008,0.001447103201017008,0.076180932071245
0.1,0.0,1000,0.01333333333333335,0.0,0.014559800242020646,0.0010635571004860666,0.0010635571004860666,0.04084045032954976
